SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,POSITION,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,GAMES_PLAYED,GOALS,ASSISTS,POINTS,WINS,LOSSES,WL_RATIO,OT_WINS,OT_LOSSES,SO_WINS,SO_LOSSES,SO_WL_RATIO,GOALS_AGAINST,EVEN_STR_GOALS_AGAINST,PP_GOALS_AGAINST,SH_GOALS_AGAINST,SHOTS_AGAINST,EVEN_STR_SHOTS_AGAINST,PP_SHOTS_AGAINST,SH_SHOTS_AGAINST,OT_GOALS_AGAINST,SAVES,SAVESPG,EVEN_STR_SAVES,PP_SAVES,SH_SAVES,GAA,SAVE_PCT,BRICK_WALL,SHUTOUTS,GAMES_STARTED,CREDIT_FOR_GAME,SO_SAVE_PCT,SO_GA,MIN_PLAYED,PENALTIES,PIM,GOONY_BIG_PADS,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,24,EDM,17353,Stuart Skinner,G,ROSTER,27,"6'4""",207,Canada,"Edmonton, AB",False,23,0,0,0,11,8,1.38,5,4,0,2,0.0,62,50,11,1,570,462,99,9,2,508,22.09,412,88,8,2.825,0.891,78.85555556,2,23,23,0.5,4,1317,0,0,0.0,0,85,0,0,0,78999,0,0,0,EDM,Pacific,Western
2025-2026,20260228,10,PIT,17353,Stuart Skinner,G,ROSTER,27,"6'4""",207,Canada,"Edmonton, AB",False,13,0,1,1,8,4,2.0,0,1,0,0,,35,26,7,2,310,262,38,10,1,275,21.15,236,31,8,2.723,0.887,79.22222222,0,13,13,0.0,0,771,0,0,0.0,0,52,0,0,0,46265,0,0,0,PIT,Metropolitan,Eastern
2025-2026,20260228,10,PIT,17353,Stuart Skinner,G,ROSTER,27,"6'4""",207,Canada,"Edmonton, AB",False,13,0,1,1,8,4,2.0,0,1,0,0,,35,26,7,2,310,262,38,10,1,275,21.15,236,31,8,2.723,0.887,79.22222222,0,13,13,0.0,0,771,0,0,0.0,0,52,0,0,0,46265,0,0,0,PIT,Metropolitan,Eastern
2025-2026,20260228,20,CHI,34842,Arvid Soderblom,G,ROSTER,26,"6'3""",180,Sweden,Göteborg,True,17,0,0,0,5,9,0.56,1,2,1,1,1.0,64,54,9,1,507,422,75,10,1,443,26.06,368,66,9,3.889,0.874,72.09444444,0,14,16,0.43,4,987,2,4,2.5,0,63,0,0,0,59242,0,0,0,CHI,Central,Western
2025-2026,20260228,13,OTT,30050,Mads Sogaard,G,ASSIGNED_TO_MINORS,25,"6'8""",199,Denmark,Aalborg,True,2,0,0,0,1,0,inf,0,0,0,0,,6,4,2,0,36,28,8,0,0,30,15.0,24,6,0,4.65,0.833,65.81666667,0,1,1,0.0,0,77,0,0,0.0,0,4,0,0,0,4645,0,0,0,OTT,Atlantic,Eastern
2025-2026,20260228,8,NYI,28379,Ilya Sorokin,G,ROSTER,30,"6'2""",172,Russia,Mezhdurechensk,False,36,0,1,1,21,13,1.62,5,2,2,2,1.0,88,65,21,2,1036,842,169,25,0,948,26.33,777,148,23,2.453,0.915,82.12222222,6,36,36,0.56,4,2152,1,2,1.25,0,150,0,0,0,129125,0,0,0,NYI,Metropolitan,Eastern
2025-2026,20260228,5,WSH,53231,Clay Stevenson,G,ROSTER,26,"6'4""",195,Canada,"Chilliwack, BC",True,3,0,0,0,2,1,2.0,1,0,0,0,,7,6,1,0,73,63,8,2,0,66,22.0,57,7,2,2.332,0.904,82.24444444,0,3,3,0.0,0,180,0,0,0.0,0,11,0,0,0,10807,0,0,0,WSH,Metropolitan,Eastern
2025-2026,20260228,12,TOR,11348,Anthony Stolarz,G,ROSTER,32,"6'6""",240,USA,"Jackson, New Jersey",False,17,0,0,0,7,8,0.88,1,1,0,0,,56,45,9,2,476,384,81,11,1,420,24.71,339,72,9,3.6,0.882,74.1,0,17,16,0.0,0,933,0,0,0.0,0,63,0,0,0,56007,0,0,0,TOR,Atlantic,Eastern
2025-2026,20260228,11,BOS,28418,Jeremy Swayman,G,ROSTER,27,"6'2""",187,USA,"Anchorage, AK",True,38,0,0,0,22,12,1.83,3,3,2,2,1.0,109,66,38,5,1117,861,224,32,1,1009,26.55,795,187,27,2.916,0.903,78.95,1,37,37,0.83,2,2243,4,11,6.88,1,139,0,0,0,134558,0,0,0,BOS,Atlantic,Eastern
2025-2026,20260228,16,DET,5277,Cam Talbot,G,ROSTER,38,"6'4""",196,Canada,"Caledonia, ON",False,24,0,1,1,11,7,1.57,3,4,2,2,1.0,67,54,12,1,618,523,73,22,2,551,22.96,469,61,21,2.995,0.892,77.96111111,0,20,22,0.7,3,1342,0,0,0.0,0,93,0,0,0,80540,0,0,0,DET,Atlantic,Eastern
