season,snapshot_date,team_id,team,team_abbr,games_played,wins,losses,wl_ratio,gf,ga,gf_pg,ga_pg,gpg_diff,sf_pg,shot_pct,pts,fo_pct,pp,ppg,pp_pct,pk,pkga,pk_pct,st_pct,p,pim,unf_errors,off,def,goal,grit,balance,pyth_win_pct,pyth_wins,wins_above_expected,team_abbr_canon,division,conference,source_file
2024,11/2/2025,30,Utah Mammoth,NA,11,8,2,4,40,30,3.64,2.73,0.91,29.55,12.31,16,45.5,38,8,21.1,34,9,73.5,94.6,47,108,3.01,63.55,54.72,56.08,28.68,50.76,0.64,7.04,0.96,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,21,Vancouver Canucks,NA,13,6,7,0.86,35,41,2.69,3.15,-0.46,25,10.77,12,44.9,42,7,16.7,45,13,71.1,87.8,53,120,3.084,31.68,42.02,41.99,59.91,43.9,0.42,5.48,0.52,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,142,Vegas Golden Knights,NA,11,6,2,3,39,31,3.55,2.82,0.73,28,12.66,15,54.1,43,11,25.6,30,6,80,105.6,38,90,2.738,64.61,57.57,59.61,50.05,57.96,0.61,6.74,-0.74,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,5,Washington Capitals,NA,12,6,5,1.2,31,28,2.58,2.33,0.25,29,8.91,13,46.8,40,6,15,36,9,75,90,47,108,2.71,30.52,62.15,67.3,55.03,53.75,0.55,6.61,-0.61,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,2,Winnipeg Jets,NA,12,9,3,3,45,30,3.75,2.5,1.25,27.17,13.8,18,53.2,39,10,25.6,47,5,89.4,115,57,134,3.18,68.75,72.66,70.15,65.21,69.19,0.69,8.31,0.69,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/3/2025,29,Anaheim Ducks,NA,11,7,3,2.33,41,34,3.73,3.09,0.64,31.36,11.88,15,46.5,42,8,19,34,7,79.4,98.4,44,106,3.117,66.9,52.35,50.21,63.25,58.18,0.59,6.52,0.48,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,11,Boston Bruins,NA,14,7,7,1,45,48,3.21,3.43,-0.22,26.36,12.2,14,54.6,46,10,21.7,55,10,81.8,103.5,66,148,3.453,51.81,43.72,39.83,67.25,50.65,0.47,6.54,0.46,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,15,Buffalo Sabres,NA,12,5,4,1.25,37,38,3.08,3.17,-0.09,30.5,10.11,13,42.3,40,8,20,42,4,90.5,110.5,58,143,3.609,49.6,58.44,54.65,56.33,54.75,0.49,5.83,-0.83,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,23,Calgary Flames,NA,14,3,9,0.33,31,47,2.21,3.36,-1.15,28,7.91,8,46.4,52,7,13.5,53,12,77.4,90.9,67,165,3.676,18.85,39.67,38.56,64.71,40.45,0.3,4.23,-1.23,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,3,Carolina Hurricanes,NA,11,7,4,1.75,41,32,3.73,2.91,0.82,32.73,11.39,14,50.2,32,3,9.4,40,7,82.5,91.9,50,100,2.932,59.21,59.71,54.83,48.99,55.69,0.62,6.84,0.16,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,20,Chicago Blackhawks,NA,12,5,4,1.25,38,34,3.17,2.83,0.34,24.83,12.75,13,47,37,7,18.9,50,9,82,100.9,62,144,3.485,47.44,57.58,54.45,51.01,52.62,0.56,6.68,-1.68,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,22,Colorado Avalanche,NA,13,7,1,7,47,33,3.62,2.54,1.08,34.15,10.59,19,50.8,49,8,16.3,39,4,89.7,106,47,100,2.527,63.91,73.14,71.35,24.54,58.24,0.67,8.71,-1.71,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,19,Columbus Blue Jackets,NA,12,7,5,1.4,40,36,3.33,3,0.33,31.92,10.44,14,50.7,30,5,16.7,36,12,66.7,83.4,42,96,2.749,53.86,44.22,44.74,39.07,45.47,0.55,6.62,0.38,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,27,Dallas Stars,NA,12,6,3,2,33,35,2.75,2.92,-0.17,26,10.58,15,52.8,41,13,31.7,36,10,72.2,103.9,41,98,2.799,47.27,44.84,50.36,52.03,48.62,0.47,5.64,0.36,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,16,Detroit Red Wings,NA,13,9,4,2.25,44,41,3.38,3.15,0.23,27.92,12.12,18,53.6,42,10,23.8,38,5,86.8,110.6,44,99,2.776,58.94,54.77,54.06,29.4,49.29,0.54,6.96,2.04,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,24,Edmonton Oilers,NA,13,6,4,1.5,41,40,3.15,3.08,0.07,29.31,10.76,15,51.8,36,12,33.3,31,6,80.6,113.9,32,64,2.211,60.75,53.54,54.21,10,44.63,0.51,6.65,-0.65,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,4,Florida Panthers,NA,12,6,5,1.2,31,33,2.58,2.75,-0.17,28.83,8.96,13,46.9,45,9,20,41,10,75.6,95.6,50,111,2.928,35.25,53.42,54.72,83.05,56.61,0.47,5.62,0.38,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,28,Los Angeles Kings,NA,13,5,4,1.25,37,41,2.85,3.15,-0.3,29.92,9.51,14,49.1,37,6,16.2,50,13,74,90.2,52,116,3.042,39.36,41.24,40.89,47.11,42.15,0.45,5.85,-0.85,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,25,Minnesota Wild,NA,13,4,6,0.67,37,49,2.85,3.77,-0.92,30,9.49,11,48,51,15,29.4,28,10,64.3,93.7,34,87,2.798,51.77,27.14,29.93,44.41,38.31,0.36,4.73,-0.73,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,14,Montreal Canadiens,NA,12,9,3,3,44,36,3.67,3,0.67,25.92,14.15,18,50.5,35,10,28.6,39,9,76.9,105.5,51,122,3.183,69.66,51.3,50.09,44.43,53.87,0.6,7.19,1.81,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,18,Nashville Predators,NA,13,5,6,0.83,33,43,2.54,3.31,-0.77,27,9.4,12,51.8,40,5,12.5,43,5,88.4,100.9,54,117,3.095,25.71,54.08,49.96,42.65,43.1,0.37,4.82,0.18,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,7,New Jersey Devils,NA,13,9,4,2.25,46,40,3.54,3.08,0.46,28.92,12.23,18,48.3,32,10,31.2,45,6,86.7,117.9,47,99,2.707,68.73,61.75,54.21,49.88,58.64,0.57,7.4,1.6,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,8,New York Islanders,NA,12,6,5,1.2,40,41,3.33,3.42,-0.09,30.33,10.99,13,52.4,43,7,16.3,40,9,77.5,93.8,52,135,3.616,53.17,35.65,39.32,57.51,46.41,0.49,5.84,0.16,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,9,New York Rangers,NA,13,6,5,1.2,31,30,2.38,2.31,0.07,28.77,8.29,14,55.2,33,4,12.1,33,5,84.8,96.9,39,87,2.23,22.3,74.58,75.6,64.86,59.34,0.51,6.69,-0.69,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,13,Ottawa Senators,NA,13,6,5,1.2,48,51,3.69,3.92,-0.23,28.92,12.77,14,59.6,48,13,27.1,40,15,62.5,89.6,56,134,3.593,71.23,15.3,17.85,64.99,42.34,0.47,6.11,-0.11,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,6,Philadelphia Flyers,NA,12,6,5,1.2,33,31,2.75,2.58,0.17,23.5,11.7,13,50.3,37,7,18.9,42,4,90.5,109.4,57,169,3.848,34.93,62.41,69.78,62.1,57.3,0.53,6.38,-0.38,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,10,Pittsburgh Penguins,NA,13,8,3,2.67,45,34,3.46,2.62,0.84,26.62,13.01,18,50.8,31,10,32.3,41,7,82.9,115.2,50,135,3.097,66.24,61.95,64.36,28.23,55.2,0.64,8.26,-0.26,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,26,San Jose Sharks,NA,13,4,6,0.67,42,52,3.23,4,-0.77,25.08,12.88,11,49.4,44,9,20.5,40,13,67.5,88,46,106,3.204,50.9,20.78,19.09,38.75,32.38,0.39,5.13,-1.13,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,143,Seattle Kraken,NA,11,5,2,2.5,30,31,2.73,2.82,-0.09,23.91,11.41,14,44.3,32,7,21.9,28,9,67.9,89.8,35,95,2.811,36.77,48.43,53.25,44.02,45.62,0.48,5.32,-0.32,NA,NA,NA,nhl_team_stats_20251103.csv
2024,11/3/2025,17,St. Louis Blues,NA,12,3,7,0.43,34,50,2.83,4.17,-1.34,27.75,10.21,8,50.7,34,8,23.5,33,10,69.7,93.2,40,92,3.176,43.1,19.57,18.3,59.69,35.16,0.32,3.78,-0.78,NA,NA,NA,nhl_team_stats_20251103.csv
