RANK,PLAYER,NATION,POSITION,SQUAD,AGE,YEAR_BORN,MP,STARTS,PCT_STARTS,MINUTES,90_MINS,G,GPG,A,APG,PTS,PTSPG,G_PK,G_REG,PK,PK_ATT,CRDY,CRDR,TOT_CRDS,XG,XGPG,NPXG,XAG,NPXG_XAG,PRGC,PRGP,PRGR
152,Shinomi Koyama,jp JPN,"MF,FW",Courage,20-165,2005,13,6,0.461538462,535,5.9,0,0,1,0.076923077,1,0.076923077,0,0,0,0,1,0,1,2.5,0.192307692,2.5,1.6,4.1,4,25,26
180,Nealy Martin,us USA,"MF,DF",Gotham FC,27-084,1998,13,11,0.846153846,979,10.9,0,0,1,0.076923077,1,0.076923077,0,0,0,0,1,0,1,0.3,0.023076923,0.3,0.4,0.6,3,30,6
188,Amanda McGlynn,us USA,GK,Royals,26-254,1998,13,13,1,1170,13,0,0,1,0.076923077,1,0.076923077,0,0,0,0,2,0,2,0,0,0,0.8,0.8,1,0,0
196,Samantha Meza,us USA,MF,Reign,23-250,2001,13,9,0.692307692,877,9.7,0,0,1,0.076923077,1,0.076923077,0,0,0,0,0,0,0,0.2,0.015384615,0.2,1.3,1.5,8,28,13
197,Lauren Milliet,us USA,DF,Louisville,28-226,1996,13,13,1,1170,13,0,0,1,0.076923077,1,0.076923077,0,0,0,0,0,0,0,0.2,0.015384615,0.2,1.1,1.3,25,62,20
222,Katie O’Kane,,MF,Louisville,,,13,8,0.615384615,654,7.3,0,0,1,0.076923077,1,0.076923077,0,0,0,0,2,0,2,0.6,0.046153846,0.6,0.5,1.1,5,28,17
1,Kerry Abello,us USA,DF,Pride,25-301,1999,13,10,0.769230769,923,10.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3,0.023076923,0.3,0.5,0.8,32,62,32
5,Emmie Allen,us USA,GK,Bay FC,22-263,2002,2,2,1,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Michelle Alozie,ng NGA,"DF,MF",Dash,28-078,1997,10,1,0.1,293,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.1,0.1,0.2,8,8,25
7,Angelina Anderson,us USA,GK,Angel City,24-115,2001,13,13,1,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
