"MATCH_ID","Team","Opponent","Venue","xG","xG_Opp","Goals","OppGoals","Win_Flag","Draw_Flag","xG_Diff","Home_Flag","Pred_Win_Prob_basic","Pred_Win_Prob_home"
229,"Courage","Current","HOME",1.2,1.1,3,2,1,0,0.0999999999999999,0,0.434630859384672,0.434630859384672
230,"Pride","Angel City","HOME",1.3,0.8,3,2,1,0,0.5,0,0.527937776950742,0.527937776950742
231,"Thorns","Louisville","HOME",2.3,2.9,3,3,0,1,-0.6,0,0.285168162605529,0.285168162605529
232,"Bay FC","Reign","HOME",0.6,1.1,1,1,0,1,-0.5,0,0.304649114812119,0.304649114812119
233,"Thorns","Pride","HOME",1.6,1,1,0,1,0,0.6,0,0.551214747043787,0.551214747043787
234,"Dash","Louisville","HOME",1,0.8,1,2,0,0,0.2,0,0.457783392069402,0.457783392069402
235,"Reign","Current","HOME",0.3,0.7,1,0,1,0,-0.4,0,0.324856094452748,0.324856094452748
236,"Spirit","Angel City","HOME",2.4,2.3,3,4,0,0,0.1,0,0.434630859384672,0.434630859384672
237,"Gotham FC","Chicago Stars","HOME",1.2,0.2,0,0,0,1,1,0,0.641166204350392,0.641166204350392
238,"Royals","Courage","HOME",0.6,2.9,0,2,0,0,-2.3,0,0.0750157725152201,0.0750157725152201
239,"Wave","Bay FC","HOME",1.9,0.8,2,1,1,0,1.1,0,0.66242994510484,0.66242994510484
240,"Chicago Stars","Spirit","HOME",2.1,1.5,2,3,0,0,0.6,0,0.551214747043787,0.551214747043787
241,"Courage","Pride","HOME",1,2,1,1,0,1,-1,0,0.215207328329425,0.215207328329425
242,"Angel City","Royals","HOME",1.8,1,2,0,1,0,0.8,0,0.59700580688996,0.59700580688996
243,"Louisville","Gotham FC","HOME",0.7,1,1,0,1,0,-0.3,0,0.345736961895435,0.345736961895435
244,"Current","Bay FC","HOME",2.5,0.7,4,1,1,0,1.8,0,0.790861844735235,0.790861844735235
245,"Wave","Thorns","HOME",0.6,2.7,1,1,0,1,-2.1,0,0.0891016395839264,0.0891016395839264
246,"Reign","Dash","HOME",0.6,1,0,1,0,0,-0.4,0,0.324856094452748,0.324856094452748
247,"Louisville","Reign","HOME",1.1,0.6,0,1,0,0,0.5,0,0.527937776950742,0.527937776950742
248,"Gotham FC","Wave","HOME",0.5,0.3,0,1,0,0,0.2,0,0.457783392069402,0.457783392069402
249,"Courage","Chicago Stars","HOME",1.4,0.9,2,0,1,0,0.5,0,0.527937776950742,0.527937776950742
250,"Dash","Thorns","HOME",1,1.6,1,4,0,0,-0.6,0,0.285168162605529,0.285168162605529
251,"Spirit","Royals","HOME",3.9,0.7,3,3,0,1,3.2,0,0.933522479428067,0.933522479428067
252,"Pride","Current","HOME",1.4,1,0,1,0,0,0.4,0,0.504538692941293,0.504538692941293
253,"Bay FC","Angel City","HOME",1.3,1.1,2,0,1,0,0.2,0,0.457783392069402,0.457783392069402
254,"Chicago Stars","Current","HOME",0.1,1.9,1,3,0,0,-1.8,0,0.114709141642242,0.114709141642242
255,"Reign","Spirit","HOME",0.7,2.3,1,2,0,0,-1.6,0,0.135159233457417,0.135159233457417
256,"Royals","Pride","HOME",0.7,3.8,1,3,0,0,-3.1,0,0.0369059911433146,0.0369059911433146
257,"Angel City","Louisville","HOME",1.6,1.5,2,3,0,0,0.1,0,0.434630859384672,0.434630859384672
258,"Dash","Bay FC","HOME",0.8,2.2,2,2,0,1,-1.4,0,0.15860196912018,0.15860196912018
259,"Wave","Courage","HOME",1.6,1.8,5,2,1,0,-0.2,0,0.367229952863915,0.367229952863915
260,"Louisville","Royals","HOME",1.9,1.1,3,2,1,0,0.8,0,0.59700580688996,0.59700580688996
261,"Gotham FC","Current","HOME",0.9,1.9,1,2,0,0,-1,0,0.215207328329425,0.215207328329425
262,"Bay FC","Thorns","HOME",0.9,1.1,1,0,1,0,-0.2,0,0.367229952863915,0.367229952863915
263,"Pride","Dash","HOME",1.4,0.6,1,0,1,0,0.8,0,0.59700580688996,0.59700580688996
264,"Wave","Reign","HOME",0.9,0.6,1,2,0,0,0.3,0,0.481119710288976,0.481119710288976
265,"Spirit","Courage","HOME",1.5,2.6,3,1,1,0,-1.1,0,0.199802364133541,0.199802364133541
266,"Angel City","Chicago Stars","HOME",1.5,0.5,2,2,0,1,1,0,0.641166204350392,0.641166204350392
267,"Chicago Stars","Reign","HOME",1,1.1,2,2,0,1,-0.1,0,0.3892641211852,0.3892641211852
268,"Current","Louisville","HOME",2.1,1.1,4,2,1,0,1,0,0.641166204350392,0.641166204350392
269,"Bay FC","Pride","HOME",1.7,0.4,0,1,0,0,1.3,0,0.702987828529655,0.702987828529655
270,"Dash","Wave","HOME",0.8,1.9,2,3,0,0,-1.1,0,0.199802364133541,0.199802364133541
271,"Royals","Gotham FC","HOME",0.6,1.6,0,3,0,0,-1,0,0.215207328329425,0.215207328329425
272,"Thorns","Spirit","HOME",1.5,1.2,2,0,1,0,0.3,0,0.481119710288976,0.481119710288976
273,"Angel City","Courage","HOME",1.4,2.9,1,2,0,0,-1.5,0,0.146492579593281,0.146492579593281
274,"Royals","Reign","HOME",1.8,2.2,1,4,0,0,-0.4,0,0.324856094452748,0.324856094452748
275,"Current","Angel City","HOME",2.1,0.8,1,0,1,0,1.3,0,0.702987828529655,0.702987828529655
276,"Gotham FC","Bay FC","HOME",0.9,2.8,2,1,1,0,-1.9,0,0.105530680960961,0.105530680960961
277,"Courage","Dash","HOME",2.1,0.5,2,1,1,0,1.6,0,0.758175662944139,0.758175662944139
278,"Louisville","Pride","HOME",2.5,0.9,2,0,1,0,1.6,0,0.758175662944139,0.758175662944139
279,"Thorns","Chicago Stars","HOME",0.9,0.3,1,0,1,0,0.6,0,0.551214747043787,0.551214747043787
280,"Wave","Spirit","HOME",0.8,0.8,0,0,0,1,0,0,0.411760054732995,0.411760054732995
281,"Chicago Stars","Gotham FC","HOME",1.3,1.4,1,1,0,1,-0.0999999999999999,0,0.3892641211852,0.3892641211852
282,"Reign","Angel City","HOME",0.8,0.4,2,0,1,0,0.4,0,0.504538692941293,0.504538692941293
283,"Courage","Wave","HOME",0.2,1.1,0,0,0,1,-0.9,0,0.231456478548247,0.231456478548247
284,"Louisville","Current","HOME",0.4,1.8,0,2,0,0,-1.4,0,0.15860196912018,0.15860196912018
285,"Spirit","Thorns","HOME",2,1.3,2,1,1,0,0.7,0,0.574269512671443,0.574269512671443
286,"Pride","Royals","HOME",1.8,0.4,1,1,0,1,1.4,0,0.722175549795043,0.722175549795043
287,"Bay FC","Dash","HOME",3.6,1.7,2,2,0,1,1.9,0,0.805939792888375,0.805939792888375
288,"Gotham FC","Spirit","HOME",0.3,1.1,0,0,0,1,-0.8,0,0.248543959860245,0.248543959860245
289,"Dash","Courage","HOME",1,1.7,2,1,1,0,-0.7,0,0.26645557566802,0.26645557566802
290,"Pride","Louisville","HOME",2.8,0.8,1,1,0,1,2,0,0.820177855658716,0.820177855658716
291,"Royals","Current","HOME",0.6,1.1,0,1,0,0,-0.5,0,0.304649114812119,0.304649114812119
292,"Thorns","Reign","HOME",4.5,1,4,2,1,0,3.5,0,0.948983303939312,0.948983303939312
293,"Chicago Stars","Bay FC","HOME",1,1.5,1,1,0,1,-0.5,0,0.304649114812119,0.304649114812119
294,"Wave","Angel City","HOME",1,1.1,1,1,0,1,-0.1,0,0.3892641211852,0.3892641211852
295,"Royals","Angel City","HOME",1.1,0.4,0,0,0,1,0.7,0,0.574269512671443,0.574269512671443
296,"Spirit","Louisville","HOME",1,1.2,2,2,0,1,-0.2,0,0.367229952863915,0.367229952863915
1,"Current","Thorns","AWAY",2.3,1.4,5,4,1,0,0.9,0,0.619332746889916,0.619332746889916
2,"Louisville","Pride","AWAY",0.9,1.1,2,2,0,1,-0.2,0,0.367229952863915,0.367229952863915
3,"Royals","Red Stars","AWAY",2.2,1.2,0,2,0,0,1,0,0.641166204350392,0.641166204350392
4,"Courage","Dash","AWAY",3.2,0.2,5,1,1,0,3,0,0.920902760933799,0.920902760933799
5,"Reign","Spirit","AWAY",1.6,0,1,0,1,0,1.6,0,0.758175662944139,0.758175662944139
6,"Angel City","Bay FC","AWAY",1.9,1,0,1,0,0,0.9,0,0.619332746889916,0.619332746889916
7,"Red Stars","Reign","AWAY",0.7,0.9,2,1,1,0,-0.2,0,0.367229952863915,0.367229952863915
8,"Royals","Courage","AWAY",0.3,2.8,2,1,1,0,-2.5,0,0.0630026890910719,0.0630026890910719
9,"Spirit","Bay FC","AWAY",2.1,0.8,2,1,1,0,1.3,0,0.702987828529655,0.702987828529655
10,"Pride","Angel City","AWAY",0.7,1.8,1,1,0,1,-1.1,0,0.199802364133541,0.199802364133541
11,"Thorns","Gotham FC","AWAY",1.2,0.7,0,1,0,0,0.5,0,0.527937776950742,0.527937776950742
12,"Wave","Current","AWAY",1.5,1.7,1,2,0,0,-0.2,0,0.367229952863915,0.367229952863915
13,"Dash","Louisville","AWAY",0.9,2,0,0,0,1,-1.1,0,0.199802364133541,0.199802364133541
14,"Pride","Red Stars","AWAY",1.9,0.9,1,1,0,1,1,0,0.641166204350391,0.641166204350391
15,"Current","Angel City","AWAY",2.5,1.2,4,2,1,0,1.3,0,0.702987828529655,0.702987828529655
16,"Thorns","Louisville","AWAY",2,1.4,2,2,0,1,0.6,0,0.551214747043787,0.551214747043787
17,"Wave","Reign","AWAY",0.9,0.5,1,0,1,0,0.4,0,0.504538692941293,0.504538692941293
18,"Courage","Gotham FC","AWAY",0.8,1.4,1,0,1,0,-0.6,0,0.285168162605529,0.285168162605529
19,"Spirit","Royals","AWAY",3.1,1.2,2,1,1,0,1.9,0,0.805939792888375,0.805939792888375
20,"Bay FC","Dash","AWAY",1.1,2.4,2,3,0,0,-1.3,0,0.171511199420616,0.171511199420616
21,"Dash","Spirit","AWAY",0.6,2.3,1,3,0,0,-1.7,0,0.124574713149773,0.124574713149773
22,"Courage","Thorns","AWAY",0.4,1.1,2,0,1,0,-0.7,0,0.26645557566802,0.26645557566802
23,"Louisville","Wave","AWAY",1.1,1,0,0,0,1,0.1,0,0.434630859384672,0.434630859384672
24,"Royals","Pride","AWAY",0.1,1.8,0,1,0,0,-1.7,0,0.124574713149773,0.124574713149773
25,"Gotham FC","Current","AWAY",1.3,1.3,1,1,0,1,0,0,0.411760054732995,0.411760054732995
26,"Red Stars","Angel City","AWAY",0.9,1,0,1,0,0,-0.1,0,0.3892641211852,0.3892641211852
27,"Bay FC","Reign","AWAY",1.8,1,3,2,1,0,0.8,0,0.59700580688996,0.59700580688996
28,"Spirit","Gotham FC","AWAY",1.9,0.6,2,0,1,0,1.3,0,0.702987828529655,0.702987828529655
29,"Louisville","Royals","AWAY",3.9,0.6,5,1,1,0,3.3,0,0.939107134132844,0.939107134132844
30,"Current","Bay FC","AWAY",1.7,1.4,5,2,1,0,0.3,0,0.481119710288976,0.481119710288976
31,"Pride","Wave","AWAY",3.7,0.2,1,0,1,0,3.5,0,0.948983303939312,0.948983303939312
32,"Reign","Red Stars","AWAY",1.1,1.6,1,2,0,0,-0.5,0,0.304649114812119,0.304649114812119
