Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2025,8,Courage,1,1–1,2,Pride,9366,First Horizon Stadium at WakeMed Soccer ...,Brad Jensen
2025,8,Angel City,1.8,2–0,1,Royals,16533,BMO Stadium,Alex Billeter
2025,8,Louisville,0.7,1–0,1,Gotham FC,5495,Lynn Family Stadium,Muhammad Hassan
2025,8,Current,2.5,4–1,0.7,Bay FC,11500,CPKC Stadium,Jaclyn Metz
2025,8,Wave,0.6,1–1,2.7,Thorns,10433,Snapdragon Stadium,Natalie Simon
2025,9,Reign,0.6,0–1,1,Dash,6841,Lumen Field,Alyssa Nichols
2025,9,Louisville,1.1,0–1,0.6,Reign,3039,Lynn Family Stadium,Iryna Petrunok
2025,9,Gotham FC,0.5,0–1,0.3,Wave,7819,Sports Illustrated Stadium,Thomas Snyder
2025,9,Courage,1.4,2–0,0.9,Chicago Stars,8592,First Horizon Stadium at WakeMed Soccer ...,Jaclyn Metz
2025,9,Dash,1,1–4,1.6,Thorns,6217,Shell Energy Stadium,Shawn Tehini
2025,9,Spirit,3.9,3–3,0.7,Royals,15016,Audi Field,Danielle Chesky
2025,9,Pride,1.4,0–1,1,Current,8414,Inter&Co Stadium,Natalie Simon
2025,10,Bay FC,1.3,2–0,1.1,Angel City,14241,PayPal Park,Brandon Stevis
2025,10,Chicago Stars,0.1,1–3,1.9,Current,3886,SeatGeek Stadium,Matthew Thompson
2025,10,Reign,0.7,1–2,2.3,Spirit,7080,Lumen Field,Brad Jensen
2025,10,Royals,0.7,1–3,3.8,Pride,11668,America First Field,John Griggs
2025,10,Angel City,1.6,2–3,1.5,Louisville,16740,BMO Stadium,Elvis Osmanovic
2025,10,Dash,0.8,2–2,2.2,Bay FC,5595,Shell Energy Stadium,Alex Billeter
2025,10,Wave,1.6,5–2,1.8,Courage,12760,Snapdragon Stadium,Elijio Arreguin
2025,11,Louisville,1.9,3–2,1.1,Royals,3951,Lynn Family Stadium,Adorae Monroy
2025,11,Gotham FC,0.9,1–2,1.9,Current,10399,Sports Illustrated Stadium,Danielle Chesky
2025,11,Bay FC,0.9,1–0,1.1,Thorns,14094,PayPal Park,Mathew Corrigan
2025,11,Pride,1.4,1–0,0.6,Dash,9766,Inter&Co Stadium,Ben Meyer
2025,11,Wave,0.9,1–2,0.6,Reign,15393,Snapdragon Stadium,Gerald Flores
2025,11,Spirit,1.5,3–1,2.6,Courage,17625,Audi Field,Brandon Stevis
2025,11,Angel City,1.5,2–2,0.5,Chicago Stars,17538,BMO Stadium,Brad Jensen
2025,12,Chicago Stars,1,2–2,1.1,Reign,26942,Soldier Field,Shawn Tehini
2025,12,Current,2.1,4–2,1.1,Louisville,11500,CPKC Stadium,Jaclyn Metz
2025,12,Bay FC,1.7,0–1,0.4,Pride,12127,PayPal Park,Muhammad Hassan
2025,12,Dash,0.8,2–3,1.9,Wave,6241,Shell Energy Stadium,Greg Dopka
2025,12,Royals,0.6,0–3,1.6,Gotham FC,8351,America First Field,Iryna Petrunok
2025,12,Thorns,1.5,2–0,1.2,Spirit,21268,Providence Park,Joshua Encarnacion
2025,12,Angel City,1.4,1–2,2.9,Courage,14933,BMO Stadium,Nabil Bensalah
2025,13,Royals,1.8,1–4,2.2,Reign,8192,America First Field,Thomas Snyder
2025,13,Current,2.1,1–0,0.8,Angel City,11500,CPKC Stadium,Elton Garcia
2025,13,Gotham FC,0.9,2–1,2.8,Bay FC,9009,Sports Illustrated Stadium,Shawn Tehini
2025,13,Courage,2.1,2–1,0.5,Dash,6642,First Horizon Stadium at WakeMed Soccer ...,Calin Radosav
2025,13,Louisville,2.5,2–0,0.9,Pride,5469,Lynn Family Stadium,John Matto
2025,13,Thorns,0.9,1–0,0.3,Chicago Stars,17779,Providence Park,Iryna Petrunok
2025,13,Wave,0.8,0–0,0.8,Spirit,12011,Snapdragon Stadium,Mathew Corrigan
2025,14,Chicago Stars,1.3,1–1,1.4,Gotham FC,2874,SeatGeek Stadium,Muhammad Hassan
2025,14,Reign,0.8,2–0,0.4,Angel City,10117,Lumen Field,Shawn Tehini
2025,14,Courage,0.2,0–0,1.1,Wave,7109,First Horizon Stadium at WakeMed Soccer ...,Elvis Osmanovic
2025,14,Louisville,0.4,0–2,1.8,Current,8113,Lynn Family Stadium,Nabil Bensalah
2025,14,Spirit,2,2–1,1.3,Thorns,16007,Audi Field,Brad Jensen
2025,14,Pride,1.8,1–1,0.4,Royals,,Inter&Co Stadium,Jaclyn Metz
2025,14,Bay FC,3.6,2–2,1.7,Dash,15002,PayPal Park,Cristian Campo Hernández
2025,15,Gotham FC,0.3,0–0,1.1,Spirit,13860,Sports Illustrated Stadium,Jaclyn Metz
2025,15,Dash,1,2–1,1.7,Courage,5409,Shell Energy Stadium,Shawn Tehini
2025,15,Pride,2.8,1–1,0.8,Louisville,,Inter&Co Stadium,Iryna Petrunok
2025,15,Royals,0.6,0–1,1.1,Current,6843,America First Field,Brandon Stevis
2025,15,Thorns,4.5,4–2,1,Reign,,Providence Park,Katja Koroleva
2025,15,Chicago Stars,1,1–1,1.5,Bay FC,3624,SeatGeek Stadium,John Griggs
2025,15,Wave,1,1–1,1.1,Angel City,15834,Snapdragon Stadium,Abdou Ndiaye
2025,16,Current,,,,Pride,,CPKC Stadium,
2025,16,Courage,,,,Thorns,,First Horizon Stadium at WakeMed Soccer ...,
2025,16,Royals,1.1,0–0,0.4,Angel City,6299,America First Field,Alyssa Nichols
2025,16,Spirit,1,2–2,1.2,Louisville,11691,Audi Field,John Matto
2025,16,Gotham FC,,,,Dash,,Sports Illustrated Stadium,
2025,16,Bay FC,,,,Wave,,PayPal Park,
2025,16,Reign,,,,Chicago Stars,,Lumen Field,
2025,17,Angel City,,,,Pride,,BMO Stadium,
2025,17,Bay FC,,,,Spirit,,Oracle Park,
2025,17,Chicago Stars,,,,Courage,,SeatGeek Stadium,
2025,17,Gotham FC,,,,Royals,,Sports Illustrated Stadium,
2025,17,Dash,,,,Reign,,Shell Energy Stadium,
2025,17,Thorns,,,,Current,,Providence Park,
2025,17,Wave,,,,Louisville,,Snapdragon Stadium,
2025,18,Louisville,,,,Dash,,Lynn Family Stadium,
