Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,PTSPG,APG,GPG,EVG,PPG,SHG,GWG,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
569,Luke Kunin,28,FLA,C,62,4,6,10,-6,47,0.161290323,0.096774194,0.064516129,4,0,0,1,49,8.2,102,600:10:00,9:41,219,224,49.4,47,123,3,22
570,Porter Martone,19,PHI,RW,9,4,6,10,4,6,1.111111111,0.666666667,0.444444444,2,2,0,1,32,12.5,51,153:22:00,17:02,1,2,33.3,2,16,0,4
571,Joel Nystrom,23,CAR,D,38,1,9,10,6,6,0.263157895,0.236842105,0.026315789,1,0,0,0,43,2.3,121,577:04:00,15:11,0,0,,22,10,5,32
572,Alexander Petrovic,33,DAL,D,54,2,8,10,2,47,0.185185185,0.148148148,0.037037037,2,0,0,0,57,3.5,121,829:04:00,15:21,0,0,,77,88,9,45
573,Elias Pettersson,21,VAN,D,70,3,7,10,-16,39,0.142857143,0.1,0.042857143,3,0,0,0,46,6.5,135,1048:31:00,14:59,0,0,,85,136,14,68
574,Pavol Regenda,26,SJS,F,24,9,1,10,-4,20,0.416666667,0.041666667,0.375,5,4,0,2,42,21.4,66,320:22:00,13:21,11,6,64.7,6,59,3,13
575,Nick Seeler,32,PHI,D,80,4,6,10,1,38,0.125,0.075,0.05,4,0,0,0,94,4.3,251,1414:53:00,17:41,0,0,,149,126,13,58
576,Otto Stenberg,20,STL,C,32,3,7,10,3,5,0.3125,0.21875,0.09375,3,0,0,0,31,9.7,65,435:48:00,13:37,4,10,28.6,15,49,5,15
577,Jeffrey Viel,29,2TM,F,45,3,7,10,-3,79,0.222222222,0.155555556,0.066666667,3,0,0,0,62,4.8,128,536:51:00,11:56,1,4,20,21,121,8,30
577,Jeffrey Viel,29,BOS,F,10,0,0,0,-1,30,0,0,0,0,0,0,0,11,0,21,95:03:00,9:30,1,1,50,4,27,1,2
577,Jeffrey Viel,29,ANA,F,35,3,7,10,-2,49,0.285714286,0.2,0.085714286,3,0,0,0,51,5.9,107,441:48:00,12:37,0,3,0,17,94,7,28
578,Spencer Stastney,26,2TM,D,66,2,8,10,-11,20,0.151515152,0.121212121,0.03030303,2,0,0,0,56,3.6,123,1023:13:00,15:30,0,0,,63,13,19,66
578,Spencer Stastney,26,NSH,D,30,1,8,9,-1,10,0.3,0.266666667,0.033333333,1,0,0,0,30,3.3,67,445:59:00,14:52,0,0,,25,5,9,22
578,Spencer Stastney,26,EDM,D,36,1,0,1,-10,10,0.027777778,0,0.027777778,1,0,0,0,26,3.8,56,577:14:00,16:02,0,0,,38,8,10,44
579,Isak Rosen,22,2TM,RW,37,6,4,10,-5,0,0.27027027,0.108108108,0.162162162,5,1,0,0,35,17.1,95,425:40:00,11:30,1,2,33.3,20,17,5,18
579,Isak Rosen,22,BUF,RW,16,3,4,7,-3,0,0.4375,0.25,0.1875,3,0,0,0,16,18.8,39,200:58:00,12:34,1,0,100,10,7,4,11
579,Isak Rosen,22,WPG,RW,21,3,0,3,-2,0,0.142857143,0,0.142857143,2,1,0,0,19,15.8,56,224:42:00,10:42,0,2,0,10,10,1,7
580,Justin Barron,24,NSH,D,52,0,9,9,-1,17,0.173076923,0.173076923,0,0,0,0,0,31,0,90,741:01:00,14:15,0,0,,60,37,4,52
581,Alex Bump,22,PHI,LW,17,5,4,9,3,2,0.529411765,0.235294118,0.294117647,5,0,0,1,23,21.7,54,214:54:00,12:38,0,2,0,7,16,3,12
