SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,POSITION,GAMES_PLAYED,GOALS,ASSISTS,POINTS,SOGPG,APG,GPG,PGP,DEF_WALL,PHYSICAL,HAT_TRICKS,PP_GOALS,PP_ASSISTS,PP_POINTS,SH_GOALS,SH_ASSISTS,SH_POINTS,GW_GOALS,GT_GOALS,OT_GOALS,SO_ATTEMPTS,SO_MISSES,SO_GOALS,SO_GOAL_PCT,PLUS_MINUS,SHOT_ATTEMPTS,SHOTS_ON_GOAL,SHOT_PCT,BLOCKED_SHOTS,BLOCKED_SHOTS_AGAINST,MISSED_SHOTS,HITS,HITS_RECEIVED,GIVEAWAYS,TAKEAWAYS,FACEOFFS,FACEOFF_WINS,FACEOFF_LOSSES,FACEOFF_PCT,PENALTIES,PIM,PENALTIES_DRAWN,PENALTY_MIN_DRAWN,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,5,WSH,5623,Anthony Beauvillier,ROSTER,28.0,"5'11""",182.0,Canada,"Sorel-Tracy, QC",False,LW,61,12,8,20,2.13,0.13,0.2,0.33,25.0,13.8,4,0,0,0,0,1,1,4,0,0,5,0,1,20.0,3,227,130,9.2,34,38,59,78,70,30,12,40,20,20,50.0,10,20,6,12,0,1229,658,325,257,57752,9640,5765,42513,WSH,Metropolitan,Eastern
2025-2026,20260228,14,MTL,53067,Owen Beck,ASSIGNED_TO_MINORS,22.0,"6'0""",191.0,Canada,"Peterborough, ON",True,C,15,1,0,1,0.73,0.0,0.07,0.07,6.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,25,11,9.1,8,6,8,24,31,10,2,75,44,31,58.7,3,6,3,6,0,186,141,25,22,8270,1516,393,6411,MTL,Atlantic,Eastern
2025-2026,20260228,20,CHI,111625,Connor Bedard,ROSTER,20.0,"5'10""",185.0,Canada,"North Vancouver, BC",True,C,45,24,30,54,3.29,0.67,0.53,1.2,9.4,22.8,8,6,9,15,0,0,0,3,0,0,5,1,2,40.0,-2,270,148,16.2,17,52,70,16,59,61,19,331,156,175,47.1,17,32,11,24,0,1019,785,105,150,56630,8341,695,47502,CHI,Central,Western
2025-2026,20260228,11,BOS,38020,John Beecher,ROSTER,24.0,"6'3""",210.0,USA,"Elmira, NY",True,C,6,1,0,1,1.0,0.0,0.17,0.17,2.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,10,6,16.7,4,3,1,7,5,1,0,3,0,3,0.0,0,0,0,0,0,90,59,18,14,3746,782,216,2748,BOS,Atlantic,Eastern
2025-2026,20260228,11,BOS,38020,John Beecher,ROSTER,24.0,"6'3""",210.0,USA,"Elmira, NY",True,C,6,1,0,1,1.0,0.0,0.17,0.17,2.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,10,6,16.7,4,3,1,7,5,1,0,3,0,3,0.0,0,0,0,0,0,90,59,18,14,3746,782,216,2748,BOS,Atlantic,Eastern
2025-2026,20260228,23,CGY,38020,John Beecher,ROSTER,24.0,"6'3""",210.0,USA,"Elmira, NY",True,C,20,0,2,2,0.8,0.1,0.0,0.1,7.7,16.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-4,34,16,0.0,14,9,9,13,13,7,2,105,45,60,42.9,5,29,3,9,1,298,172,56,70,11620,1311,774,9535,CGY,Pacific,Western
2025-2026,20260228,23,CGY,38020,John Beecher,ROSTER,24.0,"6'3""",210.0,USA,"Elmira, NY",True,C,20,0,2,2,0.8,0.1,0.0,0.1,7.7,16.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-4,34,16,0.0,14,9,9,13,13,7,2,105,45,60,42.9,5,29,3,9,1,298,172,56,70,11620,1311,774,9535,CGY,Pacific,Western
2025-2026,20260228,143,SEA,37968,Matty Beniers,ROSTER,23.0,"6'2""",175.0,USA,"Hingham, MA",True,C,58,14,23,37,1.86,0.4,0.24,0.64,24.1,11.7,4,4,5,9,0,0,0,1,0,0,1,0,1,100.0,-5,234,108,13.0,49,50,76,24,88,59,14,758,374,384,49.3,8,18,15,30,0,1340,878,317,152,67977,14632,3001,50070,SEA,Pacific,Western
2025-2026,20260228,27,DAL,4707,Jamie Benn,ROSTER,36.0,"6'2""",210.0,Canada,"Victoria, BC",False,LW,36,9,13,22,1.31,0.36,0.25,0.61,11.3,18.5,3,0,2,2,0,0,0,1,0,0,0,0,0,0.0,11,68,47,19.1,11,10,11,49,27,22,5,68,34,34,50.0,10,23,4,13,1,638,355,178,114,27217,7458,1798,17961,DAL,Central,Western
2025-2026,20260228,4,FLO,5415,Sam Bennett,ROSTER,29.0,"6'1""",195.0,Canada,"Holland Landing, ON",False,C,59,20,25,45,2.58,0.42,0.34,0.76,24.4,43.2,6,2,9,11,0,0,0,4,0,1,0,0,0,0.0,-10,323,152,13.2,24,93,77,105,38,57,20,858,412,446,48.0,27,72,13,26,0,1333,620,455,277,65619,13811,10340,41420,FLA,,
2025-2026,20260228,12,TOR,10168,Matt Benning,ASSIGNED_TO_MINORS,31.0,"6'1""",203.0,Canada,"St. Albert, AB",False,D,1,0,0,0,0.0,0.0,0.0,0.0,1.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,3,1,0,0,2,1,0,0,0,0,0.0,0,0,0,0,0,21,12,5,4,746,65,0,681,TOR,Atlantic,Eastern
2025-2026,20260228,12,TOR,15129,Simon Benoit,ROSTER,27.0,"6'3""",208.0,Canada,"Laval, QC",False,D,51,0,3,3,0.65,0.06,0.0,0.06,52.6,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7,91,33,0.0,81,38,20,135,97,46,9,0,0,0,0.0,16,35,12,27,1,1303,849,239,215,52723,7141,3557,42025,TOR,Atlantic,Eastern
2025-2026,20260228,15,BUF,111755,Zach Benson,ROSTER,20.0,"5'10""",159.0,Canada,"Langley, BC",True,LW,42,7,19,26,1.79,0.45,0.17,0.62,9.2,13.8,2,1,4,5,0,1,1,4,0,0,0,0,0,0.0,16,125,75,9.3,15,19,31,21,53,30,15,9,4,5,44.4,10,20,12,24,0,881,700,119,69,41576,8454,1311,31811,BUF,Atlantic,Eastern
