PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
Brandon Baddock,Toronto Marlies,9,1,0,1,0,0.111,0.11,3.111,0,https://www.eliteprospects.com/player/83627/brandon-baddock,2025-2026,ahl
Marcel Marcel,Rockford IceHogs,13,1,0,1,0,0.077,0.08,0.538,-7,https://www.eliteprospects.com/player/559520/marcel-marcel,2025-2026,ahl
Josh Lopina,Rockford IceHogs,16,1,0,1,0,0.062,0.06,0.5,-3,https://www.eliteprospects.com/player/315963/josh-lopina,2025-2026,ahl
Cameron Butler,Iowa Wild,16,1,0,1,0,0.062,0.06,1.25,-3,https://www.eliteprospects.com/player/342193/cameron-butler,2025-2026,ahl
Josh Bloom,Abbotsford Canucks,17,1,0,1,0,0.059,0.06,0,-12,https://www.eliteprospects.com/player/617949/josh-bloom,2025-2026,ahl
Fabian Wagner,Manitoba Moose,18,1,0,1,0,0.056,0.06,0.222,-6,https://www.eliteprospects.com/player/448938/fabian-wagner,2025-2026,ahl
Neil Shea,Colorado Eagles,1,0,1,1,1,0,1,0,-1,https://www.eliteprospects.com/player/353682/neil-shea,2025-2026,ahl
Matthew Savoie,Bakersfield Condors,1,0,1,1,1,0,1,0,-1,https://www.eliteprospects.com/player/476028/matthew-savoie,2025-2026,ahl
Keaton Mastrodonato,Ontario Reign,1,0,1,1,1,0,1,0,-1,https://www.eliteprospects.com/player/344047/keaton-mastrodonato,2025-2026,ahl
Travis Dermott,Hartford Wolf Pack,2,0,1,1,0.5,0,0.5,0,1,https://www.eliteprospects.com/player/214673/travis-dermott,2025-2026,ahl
Jackson Jutting,Grand Rapids Griffins,2,0,1,1,0.5,0,0.5,0,0,https://www.eliteprospects.com/player/413300/jackson-jutting,2025-2026,ahl
Michael Misa,San Jose Barracuda,2,0,1,1,0.5,0,0.5,0,0,https://www.eliteprospects.com/player/577184/michael-misa,2025-2026,ahl
Easton Cowan,Toronto Marlies,2,0,1,1,0.5,0,0.5,1,1,https://www.eliteprospects.com/player/709773/easton-cowan,2025-2026,ahl
Robby Drazner,Abbotsford Canucks,2,0,1,1,0.5,0,0.5,3,-1,https://www.eliteprospects.com/player/283980/robby-drazner,2025-2026,ahl
Simon Pinard,Hershey Bears,3,0,1,1,0.333,0,0.33,0,2,https://www.eliteprospects.com/player/295310/simon-pinard,2025-2026,ahl
Aidan Hreschuk,Texas Stars,3,0,1,1,0.333,0,0.33,0,-1,https://www.eliteprospects.com/player/512181/aidan-hreschuk,2025-2026,ahl
Israel Mianscum,Laval Rocket,3,0,1,1,0.333,0,0.33,1.667,0,https://www.eliteprospects.com/player/485049/israel-mianscum,2025-2026,ahl
Isak Walther,Milwaukee Admirals,4,0,1,1,0.25,0,0.25,0,-1,https://www.eliteprospects.com/player/431803/isak-walther,2025-2026,ahl
Case McCarthy,Hartford Wolf Pack,4,0,1,1,0.25,0,0.25,0,2,https://www.eliteprospects.com/player/290196/case-mccarthy,2025-2026,ahl
David Kampf,Toronto Marlies,4,0,1,1,0.25,0,0.25,0,-1,https://www.eliteprospects.com/player/160499/david-kampf,2025-2026,ahl
Peter Tischke,Rochester Americans,4,0,1,1,0.25,0,0.25,0,2,https://www.eliteprospects.com/player/194272/peter-tischke,2025-2026,ahl
Jakub Demek,Henderson Silver Knights,4,0,1,1,0.25,0,0.25,0,-4,https://www.eliteprospects.com/player/556420/jakub-demek,2025-2026,ahl
Drew Callin,Bridgeport Islanders,4,0,1,1,0.25,0,0.25,0.5,-3,https://www.eliteprospects.com/player/190462/drew-callin,2025-2026,ahl
Charles-Alexis Legault,Chicago Wolves,4,0,1,1,0.25,0,0.25,1.75,1,https://www.eliteprospects.com/player/485094/charles-alexis-legault,2025-2026,ahl
Radim Mrtka,Rochester Americans,4,0,1,1,0.25,0,0.25,1.75,0,https://www.eliteprospects.com/player/872673/radim-mrtka,2025-2026,ahl
Milan Lucic,Springfield Thunderbirds,5,0,1,1,0.2,0,0.2,0.8,-7,https://www.eliteprospects.com/player/11104/milan-lucic,2025-2026,ahl
Curtis Douglas,Syracuse Crunch,6,0,1,1,0.167,0,0.17,0,0,https://www.eliteprospects.com/player/351462/curtis-douglas,2025-2026,ahl
Jordan Gustafson,Henderson Silver Knights,6,0,1,1,0.167,0,0.17,0,-4,https://www.eliteprospects.com/player/511853/jordan-gustafson,2025-2026,ahl
Hank Kempf,Colorado Eagles,6,0,1,1,0.167,0,0.17,0.333,1,https://www.eliteprospects.com/player/201723/hank-kempf,2025-2026,ahl
Riley Kidney,Laval Rocket,6,0,1,1,0.167,0,0.17,0.667,2,https://www.eliteprospects.com/player/473664/riley-kidney,2025-2026,ahl
Kyle Jackson,Hartford Wolf Pack,7,0,1,1,0.143,0,0.14,0,-3,https://www.eliteprospects.com/player/413825/kyle-jackson,2025-2026,ahl
Ludwig Persson,Hershey Bears,7,0,1,1,0.143,0,0.14,0.286,-1,https://www.eliteprospects.com/player/423614/ludwig-persson,2025-2026,ahl
Chase Yoder,Manitoba Moose,8,0,1,1,0.125,0,0.13,1,-2,https://www.eliteprospects.com/player/415335/chase-yoder,2025-2026,ahl
Wyatte Wylie,Laval Rocket,8,0,1,1,0.125,0,0.13,1,-3,https://www.eliteprospects.com/player/300071/wyatte-wylie,2025-2026,ahl
Konnor Smith,San Diego Gulls,8,0,1,1,0.125,0,0.13,1.75,-2,https://www.eliteprospects.com/player/640821/konnor-smith,2025-2026,ahl
Rhett Parsons,Toronto Marlies,8,0,1,1,0.125,0,0.13,5.875,-5,https://www.eliteprospects.com/player/505836/rhett-parsons,2025-2026,ahl
D.J. King,totals,9,0,1,1,0.111,0,0.11,0.222,1,https://www.eliteprospects.com/player/399239/d.j.-king,2025-2026,ahl
Samuel Laberge,San Jose Barracuda,9,0,1,1,0.111,0,0.11,3,0,https://www.eliteprospects.com/player/231410/samuel-laberge,2025-2026,ahl
Ryan Hofer,Hershey Bears,11,0,1,1,0.091,0,0.09,0.182,-1,https://www.eliteprospects.com/player/416983/ryan-hofer,2025-2026,ahl
Brendan Smith,Cleveland Monsters,11,0,1,1,0.091,0,0.09,0.727,-5,https://www.eliteprospects.com/player/12506/brendan-smith,2025-2026,ahl
Andrej Sustr,Bridgeport Islanders,11,0,1,1,0.091,0,0.09,1.909,-6,https://www.eliteprospects.com/player/44405/andrej-sustr,2025-2026,ahl
Derek Daschke,Abbotsford Canucks,13,0,1,1,0.077,0,0.08,0,-2,https://www.eliteprospects.com/player/272191/derek-daschke,2025-2026,ahl
Tyson Feist,Bakersfield Condors,13,0,1,1,0.077,0,0.08,2.692,5,https://www.eliteprospects.com/player/407570/tyson-feist,2025-2026,ahl
Chris Ortiz,Hartford Wolf Pack,14,0,1,1,0.071,0,0.07,0.286,2,https://www.eliteprospects.com/player/296699/chris-ortiz,2025-2026,ahl
Tyson Empey,Manitoba Moose,18,0,1,1,0.056,0,0.06,2.889,0,https://www.eliteprospects.com/player/120233/tyson-empey,2025-2026,ahl
Travis Howe,San Diego Gulls,19,0,1,1,0.053,0,0.05,3.842,-1,https://www.eliteprospects.com/player/207070/travis-howe,2025-2026,ahl
Jake Chiasson,Belleville Senators,20,0,1,1,0.05,0,0.05,0.2,0,https://www.eliteprospects.com/player/477353/jake-chiasson,2025-2026,ahl
Navrin Mutter,Milwaukee Admirals,23,0,1,1,0.043,0,0.04,2.826,-8,https://www.eliteprospects.com/player/418410/navrin-mutter,2025-2026,ahl
Cade Webber,Toronto Marlies,28,0,1,1,0.036,0,0.04,0.5,11,https://www.eliteprospects.com/player/285385/cade-webber,2025-2026,ahl
Roman Schmidt,totals,29,0,1,1,0.034,0,0.03,2.069,-10,https://www.eliteprospects.com/player/417192/roman-schmidt,2025-2026,ahl
Zack Hayes,Milwaukee Admirals,30,0,1,1,0.033,0,0.03,0.467,-8,https://www.eliteprospects.com/player/281743/zack-hayes,2025-2026,ahl
Yanick Turcotte,Chicago Wolves,31,0,1,1,0.032,0,0.03,3.419,-4,https://www.eliteprospects.com/player/252734/yanick-turcotte,2025-2026,ahl
Dalton Smith,Hershey Bears,43,0,1,1,0.023,0,0.02,1.814,-16,https://www.eliteprospects.com/player/30923/dalton-smith,2025-2026,ahl
Artyom Grushnikov,Calgary Wranglers,45,0,1,1,0.022,0,0.02,0.422,1,https://www.eliteprospects.com/player/539222/artyom-grushnikov,2025-2026,ahl
Mats Lindgren,Bakersfield Condors,0,0,0,0,,,0,,-,https://www.eliteprospects.com/player/635389/mats-lindgren,2025-2026,ahl
Guillaume Brisebois,Abbotsford Canucks,0,0,0,0,,,0,,-,https://www.eliteprospects.com/player/213397/guillaume-brisebois,2025-2026,ahl
Justin Janicke,Coachella Valley Firebirds,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/583032/justin-janicke,2025-2026,ahl
Garrett Pyke,Hershey Bears,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/273731/garrett-pyke,2025-2026,ahl
Landon McCallum,Coachella Valley Firebirds,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/582562/landon-mccallum,2025-2026,ahl
Brent Johnson,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/512370/brent-johnson,2025-2026,ahl
Ryan McCleary,Toronto Marlies,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/483627/ryan-mccleary,2025-2026,ahl
Sullivan Mack,Hartford Wolf Pack,1,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/415811/sullivan-mack,2025-2026,ahl
Ethan Leyh,Chicago Wolves,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/407590/ethan-leyh,2025-2026,ahl
Tyler Weiss,Chicago Wolves,1,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/355485/tyler-weiss,2025-2026,ahl
Chad Nychuk,Milwaukee Admirals,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/351204/chad-nychuk,2025-2026,ahl
Xavier Bernard,Calgary Wranglers,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/335702/xavier-bernard,2025-2026,ahl
Antonio Venuto,Cleveland Monsters,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/283955/antonio-venuto,2025-2026,ahl
Caleb Jones,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/199902/caleb-jones,2025-2026,ahl
Jake Murray,totals,1,0,0,0,0,0,0,2,-1,https://www.eliteprospects.com/player/503980/jake-murray,2025-2026,ahl
Tommy Budnick,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,2,0,https://www.eliteprospects.com/player/574823/tommy-budnick,2025-2026,ahl
Max Graham,Wilkes-Barre/Scranton Penguins,1,0,0,0,0,0,0,9,0,https://www.eliteprospects.com/player/650079/max-graham,2025-2026,ahl
Ben Meehan,Lehigh Valley Phantoms,2,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/499017/ben-meehan,2025-2026,ahl
Drew Elliott,San Diego Gulls,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/417740/drew-elliott,2025-2026,ahl
Tarun Fizer,Springfield Thunderbirds,2,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/413326/tarun-fizer,2025-2026,ahl
Jackson Berezowski,Coachella Valley Firebirds,2,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/403435/jackson-berezowski,2025-2026,ahl
Hunter Johannes,Lehigh Valley Phantoms,2,0,0,0,0,0,0,0,2,https://www.eliteprospects.com/player/379289/hunter-johannes,2025-2026,ahl
Will Riedell,Providence Bruins,2,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/353791/will-riedell,2025-2026,ahl
Zachary Okabe,Abbotsford Canucks,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/337754/zachary-okabe,2025-2026,ahl
Cole Krygier,Charlotte Checkers,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/283959/cole-krygier,2025-2026,ahl
Kyler Kupka,Hershey Bears,2,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/201358/kyler-kupka,2025-2026,ahl
Dyllan Gill,Syracuse Crunch,2,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/573869/dyllan-gill,2025-2026,ahl
Romain Rodzinski,Syracuse Crunch,2,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/534608/romain-rodzinski,2025-2026,ahl
Deni Goure,Chicago Wolves,2,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/505395/deni-goure,2025-2026,ahl
Ryan McGuire,Iowa Wild,2,0,0,0,0,0,0,1,-2,https://www.eliteprospects.com/player/201890/ryan-mcguire,2025-2026,ahl
Martin Pospisil,Calgary Wranglers,2,0,0,0,0,0,0,1,-3,https://www.eliteprospects.com/player/341691/martin-pospisil,2025-2026,ahl
Spencer Kersten,Syracuse Crunch,2,0,0,0,0,0,0,1,0,https://www.eliteprospects.com/player/370370/spencer-kersten,2025-2026,ahl
Noah Beck,San Jose Barracuda,2,0,0,0,0,0,0,2,1,https://www.eliteprospects.com/player/530038/noah-beck,2025-2026,ahl
Troy Murray,Springfield Thunderbirds,2,0,0,0,0,0,0,2.5,-1,https://www.eliteprospects.com/player/360750/troy-murray,2025-2026,ahl
Ilya Solovyov,Colorado Eagles,3,0,0,0,0,0,0,0,1,https://www.eliteprospects.com/player/490245/ilya-solovyov,2025-2026,ahl
Maxim Barbashyov,Tucson Roadrunners,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/699160/maxim-barbashyov,2025-2026,ahl
Brayden Edwards,Wilkes-Barre/Scranton Penguins,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/636658/brayden-edwards,2025-2026,ahl
Matthew Andonovski,Belleville Senators,3,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/619149/matthew-andonovski,2025-2026,ahl
Matthew Sop,Iowa Wild,3,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/538401/matthew-sop,2025-2026,ahl
Jayden Lee,Abbotsford Canucks,3,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/351553/jayden-lee,2025-2026,ahl
Owen Lindmark,San Diego Gulls,3,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/315962/owen-lindmark,2025-2026,ahl
Roman Kinal,San Diego Gulls,3,0,0,0,0,0,0,0,2,https://www.eliteprospects.com/player/311067/roman-kinal,2025-2026,ahl
Scott Reedy,Bridgeport Islanders,3,0,0,0,0,0,0,0,-4,https://www.eliteprospects.com/player/269301/scott-reedy,2025-2026,ahl
Landon Sim,Toronto Marlies,3,0,0,0,0,0,0,0.667,-2,https://www.eliteprospects.com/player/563410/landon-sim,2025-2026,ahl
Elias Pettersson,Abbotsford Canucks,3,0,0,0,0,0,0,0.667,-1,https://www.eliteprospects.com/player/641020/elias-pettersson,2025-2026,ahl
Artur Cholach,Henderson Silver Knights,3,0,0,0,0,0,0,0.667,-1,https://www.eliteprospects.com/player/467724/artur-cholach,2025-2026,ahl
Zach Berzolla,Springfield Thunderbirds,3,0,0,0,0,0,0,2,-1,https://www.eliteprospects.com/player/291858/zach-berzolla,2025-2026,ahl
Terrell Goldsmith,Tucson Roadrunners,3,0,0,0,0,0,0,2.333,1,https://www.eliteprospects.com/player/638604/terrell-goldsmith,2025-2026,ahl
Ian Moore,San Diego Gulls,4,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/201746/ian-moore,2025-2026,ahl
Samuel Mayer,Henderson Silver Knights,4,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/479856/samuel-mayer,2025-2026,ahl
Colin Swoyer,Cleveland Monsters,4,0,0,0,0,0,0,0.5,0,https://www.eliteprospects.com/player/271345/colin-swoyer,2025-2026,ahl
Danny Katic,Belleville Senators,4,0,0,0,0,0,0,0.5,-1,https://www.eliteprospects.com/player/313394/danny-katic,2025-2026,ahl
Sam Stevens,Toronto Marlies,4,0,0,0,0,0,0,0.5,-1,https://www.eliteprospects.com/player/315953/sam-stevens,2025-2026,ahl
Ben King,Toronto Marlies,4,0,0,0,0,0,0,1.25,-4,https://www.eliteprospects.com/player/201803/ben-king,2025-2026,ahl
John Gormley,San Jose Barracuda,4,0,0,0,0,0,0,1.75,0,https://www.eliteprospects.com/player/519987/john-gormley,2025-2026,ahl
Jack Bar,San Jose Barracuda,5,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/503032/jack-bar,2025-2026,ahl
Stevie Leskovar,Iowa Wild,5,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/526026/stevie-leskovar,2025-2026,ahl
Emil Hemming,Texas Stars,5,0,0,0,0,0,0,0,-1,https://www.eliteprospects.com/player/689033/emil-hemming,2025-2026,ahl
Will MacKinnon,Cleveland Monsters,5,0,0,0,0,0,0,0.4,0,https://www.eliteprospects.com/player/285412/will-mackinnon,2025-2026,ahl
Carson Golder,Lehigh Valley Phantoms,5,0,0,0,0,0,0,0.4,-2,https://www.eliteprospects.com/player/477356/carson-golder,2025-2026,ahl
Lukas Sillinger,Iowa Wild,5,0,0,0,0,0,0,0.4,-1,https://www.eliteprospects.com/player/287466/lukas-sillinger,2025-2026,ahl
Jacob Dion,Laval Rocket,5,0,0,0,0,0,0,0.4,-2,https://www.eliteprospects.com/player/410556/jacob-dion,2025-2026,ahl
James Stefan,Bakersfield Condors,6,0,0,0,0,0,0,0,0,https://www.eliteprospects.com/player/480110/james-stefan,2025-2026,ahl
Christian Felton,Abbotsford Canucks,6,0,0,0,0,0,0,0,-2,https://www.eliteprospects.com/player/325238/christian-felton,2025-2026,ahl
Chongmin Lee,Cleveland Monsters,6,0,0,0,0,0,0,0.333,1,https://www.eliteprospects.com/player/325427/chongmin-lee,2025-2026,ahl
Gavin Hain,Hartford Wolf Pack,6,0,0,0,0,0,0,0.333,-3,https://www.eliteprospects.com/player/354061/gavin-hain,2025-2026,ahl
Kevin Wall,Springfield Thunderbirds,6,0,0,0,0,0,0,0.333,-1,https://www.eliteprospects.com/player/355153/kevin-wall,2025-2026,ahl
Artyom Guryev,Lehigh Valley Phantoms,6,0,0,0,0,0,0,0.667,-1,https://www.eliteprospects.com/player/617884/artyom-guryev,2025-2026,ahl
Anthony Kehrer,Springfield Thunderbirds,7,0,0,0,0,0,0,0,-3,https://www.eliteprospects.com/player/201954/anthony-kehrer,2025-2026,ahl
Zach Urdahl,Wilkes-Barre/Scranton Penguins,7,0,0,0,0,0,0,0.286,2,https://www.eliteprospects.com/player/564451/zach-urdahl,2025-2026,ahl
Chase Wheatcroft,Texas Stars,8,0,0,0,0,0,0,0.5,1,https://www.eliteprospects.com/player/506229/chase-wheatcroft,2025-2026,ahl
Reece Vitelli,Manitoba Moose,8,0,0,0,0,0,0,0.625,2,https://www.eliteprospects.com/player/351365/reece-vitelli,2025-2026,ahl
Jackson Edward,Providence Bruins,9,0,0,0,0,0,0,0.222,2,https://www.eliteprospects.com/player/672923/jackson-edward,2025-2026,ahl
Anton Lundmark,Charlotte Checkers,9,0,0,0,0,0,0,0.444,-2,https://www.eliteprospects.com/player/350424/anton-lundmark,2025-2026,ahl
Braden Doyle,Chicago Wolves,9,0,0,0,0,0,0,1.667,0,https://www.eliteprospects.com/player/385678/braden-doyle,2025-2026,ahl
Colton White,Utica Comets,10,0,0,0,0,0,0,0.6,-4,https://www.eliteprospects.com/player/204911/colton-white,2025-2026,ahl
Dawson Barteaux,Manitoba Moose,10,0,0,0,0,0,0,0.6,-3,https://www.eliteprospects.com/player/285046/dawson-barteaux,2025-2026,ahl
Tag Bertuzzi,Utica Comets,11,0,0,0,0,0,0,0,-3,https://www.eliteprospects.com/player/279765/tag-bertuzzi,2025-2026,ahl
Matt Brown,Bakersfield Condors,11,0,0,0,0,0,0,0.182,-1,https://www.eliteprospects.com/player/381804/matt-brown,2025-2026,ahl
Jett Jones,Springfield Thunderbirds,11,0,0,0,0,0,0,0.364,-6,https://www.eliteprospects.com/player/442336/jett-jones,2025-2026,ahl
Vincent Sevigny,totals,11,0,0,0,0,0,0,0.364,5,https://www.eliteprospects.com/player/410874/vincent-sevigny,2025-2026,ahl
Sawyer Boulton,Lehigh Valley Phantoms,11,0,0,0,0,0,0,1.818,-1,https://www.eliteprospects.com/player/637562/sawyer-boulton,2025-2026,ahl
Loke Johansson,Providence Bruins,12,0,0,0,0,0,0,0.333,3,https://www.eliteprospects.com/player/719598/loke-johansson,2025-2026,ahl
Carter Wilkie,Calgary Wranglers,14,0,0,0,0,0,0,0.5,-4,https://www.eliteprospects.com/player/411159/carter-wilkie,2025-2026,ahl
Max Wanner,Providence Bruins,16,0,0,0,0,0,0,0.438,5,https://www.eliteprospects.com/player/414967/max-wanner,2025-2026,ahl
Charlie Wright,Coachella Valley Firebirds,27,0,0,0,0,0,0,0.148,-1,https://www.eliteprospects.com/player/475351/charlie-wright,2025-2026,ahl
Alex Gallant,Calgary Wranglers,30,0,0,0,0,0,0,4.533,-8,https://www.eliteprospects.com/player/77308/alex-gallant,2025-2026,ahl
Kale Kessy,Springfield Thunderbirds,31,0,0,0,0,0,0,1.839,-5,https://www.eliteprospects.com/player/26412/kale-kessy,2025-2026,ahl
Braeden Kressler,Toronto Marlies,,,,-,,,-,,-,https://www.eliteprospects.com/player/624108/braeden-kressler,2025-2026,ahl
Connor Kelley,Colorado Eagles,,,,-,,,-,,-,https://www.eliteprospects.com/player/495926/connor-kelley,2025-2026,ahl
Gannon Laroque,Laval Rocket,,,,-,,,-,,-,https://www.eliteprospects.com/player/476541/gannon-laroque,2025-2026,ahl
Ben Zloty,Manitoba Moose,,,,-,,,-,,-,https://www.eliteprospects.com/player/475290/ben-zloty,2025-2026,ahl
Dylan Moulton,Manitoba Moose,,,,-,,,-,,-,https://www.eliteprospects.com/player/370017/dylan-moulton,2025-2026,ahl
Jonny Hooker,San Diego Gulls,,,,-,,,-,,-,https://www.eliteprospects.com/player/351089/jonny-hooker,2025-2026,ahl
Erik Middendorf,Providence Bruins,,,,-,,,-,,-,https://www.eliteprospects.com/player/351001/erik-middendorf,2025-2026,ahl
Ryan Chyzowski,Calgary Wranglers,,,,-,,,-,,-,https://www.eliteprospects.com/player/344066/ryan-chyzowski,2025-2026,ahl
Joe Carroll,Rockford IceHogs,,,,-,,,-,,-,https://www.eliteprospects.com/player/336897/joe-carroll,2025-2026,ahl
Jeremie Bucheler,Rockford IceHogs,,,,-,,,-,,-,https://www.eliteprospects.com/player/335685/jeremie-bucheler,2025-2026,ahl
Juha Jaaska,Chicago Wolves,,,,-,,,-,,-,https://www.eliteprospects.com/player/222123/juha-jaaska,2025-2026,ahl
Max McCormick,Coachella Valley Firebirds,,,,-,,,-,,-,https://www.eliteprospects.com/player/90365/max-mccormick,2025-2026,ahl
Nick Leddy,San Jose Barracuda,,,,-,,,-,,-,https://www.eliteprospects.com/player/38067/nick-leddy,2025-2026,ahl
