PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
James Malatesta,Cleveland Monsters,42,5,7,12,0.167,0.119,0.29,1.929,1,https://www.eliteprospects.com/player/484164/james-malatesta,2025-2026,ahl
Otto Stenberg,Springfield Thunderbirds,28,4,8,12,0.286,0.143,0.43,0.214,3,https://www.eliteprospects.com/player/534828/otto-stenberg,2025-2026,ahl
Pavol Regenda,San Jose Barracuda,28,4,8,12,0.286,0.143,0.43,0.571,-3,https://www.eliteprospects.com/player/249755/pavol-regenda,2025-2026,ahl
Victor Mancini,Abbotsford Canucks,31,4,8,12,0.258,0.129,0.39,0.516,0,https://www.eliteprospects.com/player/290051/victor-mancini,2025-2026,ahl
Thomas Bordeleau,totals,42,4,8,12,0.19,0.095,0.29,0.881,-18,https://www.eliteprospects.com/player/296636/thomas-bordeleau,2025-2026,ahl
Xavier Simoneau,Laval Rocket,42,4,8,12,0.19,0.095,0.29,1.333,8,https://www.eliteprospects.com/player/376443/xavier-simoneau,2025-2026,ahl
Devin Kaplan,Lehigh Valley Phantoms,48,4,8,12,0.167,0.083,0.25,1.042,-12,https://www.eliteprospects.com/player/526063/devin-kaplan,2025-2026,ahl
Gabriel Seger,Grand Rapids Griffins,49,4,8,12,0.163,0.082,0.24,0.265,13,https://www.eliteprospects.com/player/266077/gabriel-seger,2025-2026,ahl
Nikita Prishchepov,Colorado Eagles,22,3,9,12,0.409,0.136,0.55,1.273,3,https://www.eliteprospects.com/player/691679/nikita-prishchepov,2025-2026,ahl
Mattias Havelid,San Jose Barracuda,35,3,9,12,0.257,0.086,0.34,0.343,2,https://www.eliteprospects.com/player/577575/mattias-havelid,2025-2026,ahl
Mikulas Hovorka,Charlotte Checkers,38,2,10,12,0.263,0.053,0.32,0.895,16,https://www.eliteprospects.com/player/425297/mikulas-hovorka,2025-2026,ahl
Josh Brown,Bakersfield Condors,45,2,10,12,0.222,0.044,0.27,1.422,10,https://www.eliteprospects.com/player/82512/josh-brown,2025-2026,ahl
Jake Livingstone,Charlotte Checkers,35,1,11,12,0.314,0.029,0.34,0.514,12,https://www.eliteprospects.com/player/358393/jake-livingstone,2025-2026,ahl
Billy Sweezey,Providence Bruins,48,1,11,12,0.229,0.021,0.25,0.812,28,https://www.eliteprospects.com/player/286681/billy-sweezey,2025-2026,ahl
Luke Tuch,Laval Rocket,50,9,2,11,0.04,0.18,0.22,1.06,7,https://www.eliteprospects.com/player/470086/luke-tuch,2025-2026,ahl
Tyler Pitlick,Iowa Wild,11,8,3,11,0.273,0.727,1,0,-4,https://www.eliteprospects.com/player/40064/tyler-pitlick,2025-2026,ahl
Nathan Legare,Utica Comets,43,7,4,11,0.093,0.163,0.26,1.349,-14,https://www.eliteprospects.com/player/296698/nathan-legare,2025-2026,ahl
Bokondji Imama,Wilkes-Barre/Scranton Penguins,49,6,5,11,0.102,0.122,0.22,1.694,3,https://www.eliteprospects.com/player/151711/bokondji-imama,2025-2026,ahl
Patrick Giles,San Jose Barracuda,43,5,6,11,0.14,0.116,0.26,0.279,-10,https://www.eliteprospects.com/player/363655/patrick-giles,2025-2026,ahl
Brendan Warren,Rochester Americans,45,5,6,11,0.133,0.111,0.24,0.378,-7,https://www.eliteprospects.com/player/208973/brendan-warren,2025-2026,ahl
Spencer Smallman,Hershey Bears,24,4,7,11,0.292,0.167,0.46,0.625,2,https://www.eliteprospects.com/player/166979/spencer-smallman,2025-2026,ahl
Luke Toporowski,totals,25,4,7,11,0.28,0.16,0.44,1.12,3,https://www.eliteprospects.com/player/315967/luke-toporowski,2025-2026,ahl
Marc-Andre Gaudet,Springfield Thunderbirds,33,4,7,11,0.212,0.121,0.33,0.182,-12,https://www.eliteprospects.com/player/573863/marc-andre-gaudet,2025-2026,ahl
