,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29-166,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches
65,Youssef Amyn,MF,iq Iraq,22-313,1.cy AEK Larnaca,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Elliot Anderson,MF,eng England,23-236,1.eng Nottingham,2002,3,3,246,2.7,0,1,1,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
67,Andrés Andrade Cedeño,DF,pa Panama,27-257,1.at LASK,1998,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
68,Fredrik André Bjørkan,DF,no Norway,27-313,1.no Bodø/Glimt,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Nilson Angulo,MF,ec Ecuador,23-011,1.eng Sunderland,2003,3,1,140,1.6,1,0,1,1,0,0,0,0,0.64,0,0.64,0.64,0.64,Matches
70,Waldemar Anton,"DF,MF",de Germany,29-345,1.de Dortmund,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Jeremy Antonisse,"FW,MF",cw Curaçao,24-093,1.gr AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Houssem Aouar,MF,dz Algeria,28-000,1.sa Al-Ittihad,1998,2,1,116,1.3,0,2,2,0,0,0,0,0,0,1.55,1.55,0,1.55,Matches
73,Oswin Appollis,"MF,FW",za South Africa,24-309,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Yazan Al-Arab,DF,jo Jordan,30-150,1.kr FC Seoul,1996,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Maxi Araújo,"FW,MF",uy Uruguay,26-135,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Tomás Araújo,DF,pt Portugal,24-045,1.pt Benfica,2002,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
